,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,text,出,7d,押,2A+,CD,/,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,label,side:2,tlow,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,text,出,隔夜,3000,万,，,押利率,或,地方债,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,label,side:2,tlow,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,text,出,3000,+,2000,+,700,6,天,，,2000,+,800,+,400,限公募,6,天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,label,side:2,total,,total,,,tlow,i_tlow,,,,,,,,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,text,高价,借,1,-,14,天,资金,大量,，,押利率,，,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,label,,side:1,tlow,,thigh,i_thigh,,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,text,出,21,-,30d,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,label,side:2,tlow,,thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,text,出,隔夜,押利率,限户,。,。,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,label,side:2,tlow,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,text,出,2.5,亿,隔夜,，,押券宽松,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,label,side:2,total,i_total,tlow,,tag:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,text,借,7d,2000,+,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,label,side:1,tlow,total,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,text,出,5E,6D,AA+,/,AA+,国企,非,过剩,非,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,label,side:2,total,tlow,tag:11,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,text,出,7,天,-,14,天,资金,，,1,个,月,以上,资金,，,欢迎,来,碰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,label,side:2,tlow,i_tlow,,thigh,i_thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,text,求借,隔夜,3500w,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
