,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,text,出,7,天,隔夜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,label,side:2,tlow,i_tlow,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,text,出,隔夜,7000,万,，,上午,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,label,side:2,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,text,借,隔夜,5000,万,，,开门,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,label,side:1,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,text,出,7d,2900w,隔夜,1000,+,1460w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,label,side:2,tlow,total,tlow,,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,text,出,4,天,，,12,月,4,日,12,点前,还款,，,8000,万,，,押信用,债,aa,及,以上,或者,利率债,，,中债,出,",",打折,情况,见,个人说明,,,,,,,,,,,,,,,,,,,,
9,label,side:2,tlow,i_tlow,,tlow,i_tlow,tlow,i_tlow,,,,,total,i_total,,tag:11,,tag:11,,,,,,,side:2,,,,,,,,,,,,,,,,,,,,,,,,,
10,text,出,4,-,30,天,资金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,label,side:2,tlow,,thigh,i_thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,text,出,隔夜,5,天,7,天,押券,AA+,存单,AAA,信用,利率,整量,起,单笔,5E,起,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,label,side:2,tlow,tlow,i_tlow,tlow,i_tlow,mode:102,tag:11,,tag:11,,,,,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,text,出,1790w,7d,，,AA,国企,，,4,点,还款,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,label,side:2,total,tlow,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,text,借,1,－,7,天,资金,一亿,，,押利率,，,有出,的,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,label,side:1,,,tlow,i_tlow,,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,text,出,2,个,月,资金,押中债,限,自营,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,label,side:2,,,,,tag:12,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,text,出,在,账,7D,5000W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,label,side:2,,,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,text,诚借,隔夜,5000,万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
